"0","5000A",,,,,,"RLF-5000 (Separate Fuse Carriage)",,
"1","3200A","AKR-75",,,,"DS-532","RL-3200, RLE-3200","MB-32",
"2","3200A",,,,,"DS-632",,,
"3","3200A",,,,,"DSII-632",,,
"4","3200A",,,,,"DSLII-632","RLF-3200 (Separate Fuse Carriage)",,
"5","4000A","AK-100",,,,"DB-100","LA-100, LA-100A","KE",
"6","4000A","AKR-100",,,,"DS-840","LA-4000, LA-4000A","K-4000, KSP-4000(?)",
"7","4000A","AKW-100",,,,"DSII-840","RL-4000, RLE-4000","MB-40",
"8","4000A",,,,,"DSLII-840","RLF-4000 (Separate Fuse Carriage)",,
"9","5000A","AKR-125",,,,"DBL-100 (4000A)","RL-5000",,
"A","225A","AK-1-15 (AKD5, AKD6) (400 A SNSR)","42 K","NA","Future","DB-15",,"KA-225, KA-225S","xxxxxxx"
"B","225A","AK-15 (AKD)  (400 A SNSR)","42 K","NA",,"DK-15","LA-15, LA-15A","KA, KA-F",
"C","600A","AK-25 (AKD)","42 K","NA",,"DK-25","LA-25, LA-25A","KB, KB-E",
"D","600A","AK-25  (AKD5, AKD6) (Complete Series)","42K","NA",,"DB-25","LA-600 (Blue), LA-600 (Gold?)","K-600, K-600S, KSP-600(?)",
"E","600A","AKU-25 (AKD-5, AKD-6)","100K","NA",,"DBL-25","LAF-600 (Blue)","KDON-225, KDON-600",
"F","600A","AKU-25 (AKD)","100K",,,"DS-206, DS-206C, DS-206H, DS-206S","LAF-600 (Gold)",,
"G","800A","AKR30, AKR30H (AKD6, AKD8)","42K","WavePro",,"DS-208","RL-800, RLH-800, RLX-800, RLE-800","LK-800, LKE-800",
"H","800A","AKRU-30 (AKD6, AKD8)","100K",,,"DSL-206","RLF-800","LKD-800",
"I","800A","AKR30L (AKD8)","65K",,,"DSII-206",,"MB-8, MBE-8",
"J","800A","AKR30S, (AKD6, AKD8)","42K",,,,,"K-800",
"K","800A","AKRU-30S (AKD6, AKD8)","100K",,,"DSLII-206","LAF-800, LAF-800A","KDON-800, KDON-800S",
"L","800A",,,,,,"LA-800, LA-800A, LA-800B","KC-800",
"M","1600A","AL-50","50K",,,"DA-50",,"KC, KC G",
"N","1600A","AK-50, AKS-50 (AKD5, AKD6)","65K",,,"DB-50","LA-50, LA-50A","K-1600, K-1600S, KSP-1600(?)",
"O","1600A","AKU-50, AKSU-50","100K",,,"DBL-50","LAF-1600, LAF-1600A, LAF-1600B","LKD-1600",
"P","1600A","AKR-50, AKR-50H (AKD6, AKD8)","65K",,,"DS-416,, DS-416C, DS-416S","RL-1600, RLE-1600","MB-16",
"Q","1600A","AKRU-50 ","100K",,,"DSL-416","RLF-1600",,
"R","1600A","AK-50, AKS-50 (AKD)","65K",,,"DSII-416",,,
"S","1600A","AKJ-50, AKJ-50H",,,,"DSL-416",,,
"T","2000A","AKT-50, AKST-50",,,,,"LA-2000, LA-2000A","K-2000, KSP-2000(?)",
"U","2000A","AKRT-50, AKRT-50H",,,,"DS-420","RL-2000, RLE-2000","MB-20",
"V","2000A","AKJT-50, AKJT-50H",,,,"DSII-420",,,
"W","2000A",,,,,"DSLII-420","RLF-2000",,
"X","3000A","AK-75",,,,"DB-75","LA-75, LA-75A","KD",
"Y","3000A",,,,,,"LA-3000, LA-3000A",,
"Z","3000A",,,,,"DBL-75","RL-3000",,
